date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:03	132/132	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Mar%202023%2006:50:02%20GMT	https://tuvanluathaiphong.com/robots.txt		(from )
13:50:06	647065/647065	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2006:50:04%20GMT	https://tuvanluathaiphong.com/	D:/Giaodien/luatsu/tuvanluathaiphong.com/index.html	(from )
13:50:06	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2006:50:05%20GMT	https://tuvanluathaiphong.com/xmlrpc.php	D:/Giaodien/luatsu/tuvanluathaiphong.com/xmlrpc.php	(from https://tuvanluathaiphong.com/)
13:50:06	14226/14226	---M--	200	added ('OK')	image/jpeg	etag:%223792-63fe2f8a-28a549c;;;%22	https://tuvanluathaiphong.com/wp-content/uploads/2018/10/cropped-nhan-dien-trang_2-300x300.jpg	D:/Giaodien/luatsu/tuvanluathaiphong.com/wp-content/uploads/2018/10/cropped-nhan-dien-trang_2-300x300.jpg	(from https://tuvanluathaiphong.com/)
13:50:06	50798/50798	---M--	200	added ('OK')	image/jpeg	etag:%22c66e-63fe2f8a-28a549a;;;%22	https://tuvanluathaiphong.com/wp-content/uploads/2018/10/cropped-12992388_936451003139297_43481383_n-Copy.jpg	D:/Giaodien/luatsu/tuvanluathaiphong.com/wp-content/uploads/2018/10/cropped-12992388_936451003139297_43481383_n-Copy.jpg	(from https://tuvanluathaiphong.com/)
13:50:07	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-63fe2f8a-28a5433;gz%22	https://tuvanluathaiphong.com/wp-includes/css/dist/block-library/style.min.css?ver=81582bdb254a94e4464424087c6479a8	D:/Giaodien/luatsu/tuvanluathaiphong.com/wp-includes/css/dist/block-library/style.min6344.css	(from https://tuvanluathaiphong.com/)
13:50:07	217/217	---MCZ	200	added ('OK')	text/css	etag:%22d9-63fe2f8a-6db77e8c;gz%22	https://tuvanluathaiphong.com/wp-includes/css/classic-themes.min.css?ver=1	D:/Giaodien/luatsu/tuvanluathaiphong.com/wp-includes/css/classic-themes.min68b3.css	(from https://tuvanluathaiphong.com/)
13:50:07	7252/7252	---M-Z	200	added ('OK')	text/css	etag:%221c54-63fe2f8a-6dbdfd78;gz%22	https://tuvanluathaiphong.com/wp-content/plugins/button-contact-vr/css/style.css?ver=81582bdb254a94e4464424087c6479a8	D:/Giaodien/luatsu/tuvanluathaiphong.com/wp-content/plugins/button-contact-vr/css/style6344.css	(from https://tuvanluathaiphong.com/)
13:50:07	37612/37612	---M-Z	200	added ('OK')	text/css	etag:%2292ec-63fe2f8a-2a475862;gz%22	https://tuvanluathaiphong.com/wp-content/plugins/td-composer/td-multi-purpose/style.css?ver=e815948e5c9ec5801de67b92a1d5a59fxx	D:/Giaodien/luatsu/tuvanluathaiphong.com/wp-content/plugins/td-composer/td-multi-purpose/style5251.css	(from https://tuvanluathaiphong.com/)
13:50:08	88343/88343	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b5eaf9372251d302d2a30f1afcb5f7db%22	https://tuvanluathaiphong.com/feed/	D:/Giaodien/luatsu/tuvanluathaiphong.com/feed/index.html	(from https://tuvanluathaiphong.com/)
